period,outcome,model,term,beta,se,ci_low,ci_high,p,p_BH_within_model
2005-2008,SOMATIC_SCORE,A_PCs_nonanaemic,A_OI_PC1_FZ,-0.225783001161295,0.0619520741232664,-0.362138596943501,-0.0894274053790882,0.003857768302491,0.0115733049074729
2005-2008,SOMATIC_SCORE,A_PCs_nonanaemic,A_OI_PC2_FZ,0.0116845362200103,0.0572847853914853,-0.114398426325683,0.137767498765704,0.842099404312156,0.842099404312156
2005-2008,SOMATIC_SCORE,A_PCs_nonanaemic,A_OI_PC3_FZ,0.172124675495466,0.0642910809823034,0.0306209603271665,0.313628390663766,0.0215127890380108,0.0322691835570162
2005-2008,SOMATIC_SCORE,raw_reduced_A_nonanaemic,HB_MARGIN,0.105831272218339,0.112265977179709,-0.144312913291974,0.355975457728652,0.368059271158117,
2005-2008,SOMATIC_SCORE,raw_reduced_A_nonanaemic,LBXRBCSI,-0.587432230528935,0.360529320987389,-1.39074161790117,0.215877156843297,0.134291979317112,
2005-2008,SOMATIC_SCORE,raw_reduced_A_nonanaemic,LBXMCVSI,-0.0050932578152927,0.0208949403950089,-0.0516500863193495,0.041463570688764,0.812348007259721,
2005-2008,SOMATIC_SCORE,raw_reduced_A_nonanaemic,LBXRDW,0.230032113231888,0.067062856442812,0.0806067572664802,0.379457469197295,0.0064374366892218,
2005-2008,PHQ9_TOTAL,A_PCs_nonanaemic,A_OI_PC1_FZ,-0.446839752105631,0.108180140916236,-0.684942636878888,-0.208736867332373,0.0016706589542925,0.0050119768628775
2005-2008,PHQ9_TOTAL,A_PCs_nonanaemic,A_OI_PC2_FZ,-0.0082128438748978,0.108412112177706,-0.246826293952219,0.230400606202424,0.940973632728251,0.9409736327282512
2005-2008,PHQ9_TOTAL,A_PCs_nonanaemic,A_OI_PC3_FZ,0.28978504741735,0.103767077258862,0.0613952502645125,0.518174844570188,0.017503400910033,0.0262551013650495
2005-2008,PHQ9_TOTAL,raw_reduced_A_nonanaemic,HB_MARGIN,0.289915761847388,0.212052223446875,-0.182566035864668,0.762397559559444,0.201509349912726,
2005-2008,PHQ9_TOTAL,raw_reduced_A_nonanaemic,LBXRBCSI,-1.41603287755175,0.701481095299618,-2.97903015992271,0.146964404819218,0.0711424583858134,
2005-2008,PHQ9_TOTAL,raw_reduced_A_nonanaemic,LBXMCVSI,-0.0364117063868814,0.0419251673690568,-0.129826800677904,0.0570033879041412,0.405485675185653,
2005-2008,PHQ9_TOTAL,raw_reduced_A_nonanaemic,LBXRDW,0.428844374152176,0.105245766432686,0.194342192956435,0.663346555347916,0.0022332857176356,
2005-2008,COGAFF_SUM,A_PCs_nonanaemic,A_OI_PC1_FZ,-0.222747651280571,0.0607679016264303,-0.356496900970253,-0.0889984015908898,0.0037184052834577,0.0111552158503731
2005-2008,COGAFF_SUM,A_PCs_nonanaemic,A_OI_PC2_FZ,-0.0216649194208283,0.0576659165217156,-0.148586745928207,0.105256907086551,0.714286414940242,0.714286414940242
2005-2008,COGAFF_SUM,A_PCs_nonanaemic,A_OI_PC3_FZ,0.116335291174499,0.0540672224735316,-0.002665863137117,0.235336445486115,0.0544876104979453,0.0817314157469179
2005-2008,COGAFF_SUM,raw_reduced_A_nonanaemic,HB_MARGIN,0.195381968627693,0.125264318177427,-0.0837243254710022,0.474488262726389,0.149877400656648,
2005-2008,COGAFF_SUM,raw_reduced_A_nonanaemic,LBXRBCSI,-0.864696656260822,0.396683569808952,-1.74856273009676,0.0191694175751138,0.054262488566441,
2005-2008,COGAFF_SUM,raw_reduced_A_nonanaemic,LBXMCVSI,-0.0338081605312405,0.0248494415485377,-0.0891761666956994,0.0215598456332184,0.203540634715365,
2005-2008,COGAFF_SUM,raw_reduced_A_nonanaemic,LBXRDW,0.199972220913951,0.0536836862499413,0.0803575138626159,0.319586927965287,0.0039426153650591,
2009-2018,SOMATIC_SCORE,A_PCs_nonanaemic,A_OI_PC1_FZ,-0.0844408871998371,0.0438179532163524,-0.172254027757476,0.0033722533578018,0.059141067155554,0.088711600733331
2009-2018,SOMATIC_SCORE,A_PCs_nonanaemic,A_OI_PC2_FZ,-0.0163614203244873,0.0278249796659747,-0.0721239256692103,0.0394010850202358,0.55893108394048,0.55893108394048
2009-2018,SOMATIC_SCORE,A_PCs_nonanaemic,A_OI_PC3_FZ,0.126099139307403,0.033933555524231,0.0580947743806151,0.19410350423419,0.0004751468073955,0.0014254404221865
2009-2018,SOMATIC_SCORE,raw_reduced_A_nonanaemic,HB_MARGIN,-0.0032539434947989,0.0815959740042497,-0.16684402177545,0.160336134785852,0.968336887700087,
2009-2018,SOMATIC_SCORE,raw_reduced_A_nonanaemic,LBXRBCSI,-0.015613162357343,0.245034186695476,-0.506877128161109,0.475650803446424,0.949429817372578,
2009-2018,SOMATIC_SCORE,raw_reduced_A_nonanaemic,LBXMCVSI,0.0145376689468708,0.0150108190112328,-0.0155572111874894,0.044632549081231,0.337122858607714,
2009-2018,SOMATIC_SCORE,raw_reduced_A_nonanaemic,LBXRDW,0.142685604449038,0.0349863206954277,0.0725422547168697,0.212828954181206,0.00015026388986,
2009-2018,PHQ9_TOTAL,A_PCs_nonanaemic,A_OI_PC1_FZ,-0.147251556039067,0.100313009624926,-0.348283319673933,0.0537802075958002,0.147821651484252,0.221732477226378
2009-2018,PHQ9_TOTAL,A_PCs_nonanaemic,A_OI_PC2_FZ,-0.025789519356282,0.0558672801420583,-0.137750050681527,0.0861710119689632,0.64617364624854,0.64617364624854
2009-2018,PHQ9_TOTAL,A_PCs_nonanaemic,A_OI_PC3_FZ,0.233470893694564,0.076408376665286,0.0803450850389058,0.386596702350223,0.0034616005662671,0.0103848016988013
2009-2018,PHQ9_TOTAL,raw_reduced_A_nonanaemic,HB_MARGIN,0.133740571547456,0.165871077017754,-0.198810915274886,0.466292058369797,0.423611080532505,
2009-2018,PHQ9_TOTAL,raw_reduced_A_nonanaemic,LBXRBCSI,-0.440086079994625,0.48755864188339,-1.41758230288373,0.537410142894482,0.370729995748803,
2009-2018,PHQ9_TOTAL,raw_reduced_A_nonanaemic,LBXMCVSI,0.0045155950539994,0.0303927040079872,-0.0564181077236443,0.0654492978316432,0.882442472863174,
2009-2018,PHQ9_TOTAL,raw_reduced_A_nonanaemic,LBXRDW,0.276950793626592,0.0735682820795967,0.129455268617632,0.424446318635552,0.0004133650527338,
2009-2018,COGAFF_SUM,A_PCs_nonanaemic,A_OI_PC1_FZ,-0.0613071917612475,0.0651998409125711,-0.191970592813368,0.0693562092908727,0.351176975289944,0.526765462934916
2009-2018,COGAFF_SUM,A_PCs_nonanaemic,A_OI_PC2_FZ,-0.0084425668157752,0.0351785088953004,-0.0789418740512928,0.0620567404197422,0.81122855010451,0.8112285501045099
2009-2018,COGAFF_SUM,A_PCs_nonanaemic,A_OI_PC3_FZ,0.10925792562457,0.0512281991418598,0.0065943203770284,0.211921530872111,0.0374222940269598,0.1122668820808794
2009-2018,COGAFF_SUM,raw_reduced_A_nonanaemic,HB_MARGIN,0.13590507811375,0.102559314840083,-0.069713968019891,0.34152412424739,0.190705767761342,
2009-2018,COGAFF_SUM,raw_reduced_A_nonanaemic,LBXRBCSI,-0.41788374427839,0.288716792408776,-0.996726061530836,0.160958572974057,0.15357057276749,
2009-2018,COGAFF_SUM,raw_reduced_A_nonanaemic,LBXMCVSI,-0.0092671444373015,0.0188019322669854,-0.0469627490172953,0.0284284601426921,0.624093909383636,
2009-2018,COGAFF_SUM,raw_reduced_A_nonanaemic,LBXRDW,0.135042071806861,0.0484873250059192,0.0378308381628504,0.232253305450871,0.0073645844753738,
2021-2023,SOMATIC_SCORE,A_PCs_nonanaemic,A_OI_PC1_FZ,-0.224964572298644,0.130795311707898,,,,
2021-2023,SOMATIC_SCORE,A_PCs_nonanaemic,A_OI_PC2_FZ,0.120782594260486,0.0598161696117945,,,,
2021-2023,SOMATIC_SCORE,A_PCs_nonanaemic,A_OI_PC3_FZ,0.161490990469606,0.0567276414267987,,,,
2021-2023,SOMATIC_SCORE,raw_reduced_A_nonanaemic,HB_MARGIN,-0.085373996280335,0.225988392604055,,,,
2021-2023,SOMATIC_SCORE,raw_reduced_A_nonanaemic,LBXRBCSI,-0.133947078857672,0.667832147552508,,,,
